"","RC2","RC1","RC3"
"V1",0.374437917721549,0.814019580756132,0.21239296460103
"V2",0.573082092812842,0.620273814161936,0.282769381985033
"V3",0.819922545815721,0.386228383016891,0.189804893716278
"V4",0.408174995890431,0.728768942079993,0.357218373951685
"V5",0.314844866649135,0.859893845279436,0.130761571931695
"V6",0.336452059271017,0.716041085078027,0.423541692345105
"V7",0.608524279523368,0.367730711068844,0.550947244210837
"V8",0.466514754532962,0.558597901073271,0.47041681436127
"V9",0.855058278134176,0.302948576736452,0.267605144977917
"V10",0.82855743063845,0.321435355841679,0.278769736229625
"V11",0.872125374267997,0.292635428478441,0.213544885877605
"V12",0.284417824350208,0.755127303000464,0.387051405343244
"V13",0.310229710709599,0.482945022459974,0.741202720004159
"V14",0.769100821463202,0.372543582196686,0.168675304536178
