"","RC1","RC2","RC3"
"V5",0.212250940115962,0.542897715117738,0.609001099229582
"V6",0.204418168471961,0.636195900404767,0.497073770193381
"V7",0.230479508821937,0.81151557072077,0.190937673590329
"V8",0.030432250117981,0.881940771626136,0.247419154263275
"V9",0.0441451423909983,0.914558936406643,-0.0352534121356095
"V10",-0.277515933402173,0.295218567617804,0.809620029820377
"V11",0.81225509940635,0.201294387337056,0.387966694341175
"V12",0.885836749731126,0.185828455536218,0.291128557570186
"V13",0.506416496941137,0.446869872264903,0.549001679723848
"V14",0.638477319911493,0.208009294118394,0.627448548621741
"V15",0.768655352635392,0.221856150258283,0.333634672775894
"V16",0.934477188643842,0.133910267281908,0.204746725479672
"V17",0.843779614913488,0.199638794017491,0.317196456686041
"V18",0.710580012914526,0.25893628552936,0.437641813889192
"V19",0.945473290906584,0.128799605287119,0.167904078430442
"V20",0.902010411857969,0.170115490805474,0.279446376291621
"V21",0.83084789553818,0.207749778952817,0.38058633986661
"V22",0.846379302373083,0.177695128783659,0.168114242708161
"V23",0.443848539738066,0.604188218908277,0.19638347721385
"V24",0.885430125962909,0.178698951469986,0.281821327994934
"V25",0.896599926024023,0.205430094612733,0.158759093441179
"V26",0.89822490452604,0.19987279820734,0.0581409147146314
"V27",0.889708022002745,0.223322212710828,0.213903108323899
"V28",0.945651447421519,0.134062118666557,0.100097797491689
"V29",0.955159331679389,0.116617541497283,0.133690985352707
"V30",0.952238361175775,0.129991492983629,0.159368228318403
"V31",0.958469074159983,0.127118943946464,-0.0144499458186296
"V32",0.972247736428099,0.119761369415014,0.0065545674477892
"V33",0.958291572994251,0.16981291753572,0.0402460216883756
"V34",0.981697185386911,0.115433428971554,0.0126012210333014
"V35",0.946828520690678,0.164397801725678,0.10296788374248
"V36",0.976105787902732,0.149898930665563,0.0262999842391128
"V37",0.968177005474741,0.121295411881053,-0.0323508757533374
"V38",0.969576750347138,0.130879537956019,0.0119949250569937
"V39",0.960995397990538,0.129006228663583,0.048185635829312
"V40",0.970801851542809,0.104549010094722,0.0110252129588594
