"","RC1","RC3","RC2"
"V1",0.954503602305685,0.199429951793592,0.0895449601050422
"V2",0.95530190901124,0.192053445255241,0.0692767336631672
"V3",0.95858525638868,0.208949982099835,0.11101825014499
"V4",0.956394255570615,0.204684389821361,0.0804253340463114
"V5",0.914531903366733,0.324973572136831,0.0791325156498226
"V6",0.91583988903807,0.286495685474568,0.0935204724673755
"V7",0.916797701118137,0.326122897002027,0.100334069876553
"V8",0.742226276170696,0.543189124077272,0.159144482014554
"V9",0.80534666757186,0.343057067394983,0.162456858898002
"V10",0.369470194615586,0.762018655187583,0.357707640105112
"V11",0.697252867234221,0.486891170500346,0.219902122856975
"V12",0.30408858552063,0.72893530993375,0.419711597121711
"V13",0.501256955542141,0.768881774037025,0.144704721521388
"V14",0.187739955039466,0.329486852196289,0.803934327000163
"V15",0.0702410826919014,0.00619367716871033,0.944079038288908
"V16",0.00236927728327632,0.298020796764809,0.867598075417672
